127.0.0.1 - - [12/Jun/2017:08:43:05 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:10 +0800] "GET /scfyd/login.html HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:10 +0800] "GET /scfyd/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:10 +0800] "GET /scfyd/js/login.js HTTP/1.1" 200 3369
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:10 +0800] "GET /scfyd/js/jquery.cookie.js HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:10 +0800] "GET /scfyd/js/CloudUtils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:10 +0800] "GET /scfyd/js/password.js HTTP/1.1" 200 8825
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:10 +0800] "GET /scfyd/css/datepicker3.css HTTP/1.1" 200 33772
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:10 +0800] "GET /scfyd/images/background.jpg HTTP/1.1" 200 59064
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:11 +0800] "GET /scfyd/login/code HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:11 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:18 +0800] "POST /scfyd/login?_dc=1497228197510 HTTP/1.1" 200 5485
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:18 +0800] "GET /scfyd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:18 +0800] "GET /scfyd/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:18 +0800] "GET /scfyd/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:18 +0800] "GET /scfyd/fonts/myFonts/iconfont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:18 +0800] "GET /scfyd/css/bootstrap-reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:18 +0800] "GET /scfyd/tabs-accordions.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:18 +0800] "GET /scfyd/fonts/myFonts/iconfont.woff?t=1497083141452 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:18 +0800] "GET /scfyd/css/bootstrap-table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:18 +0800] "GET /scfyd/js/sysManager/tab-accord/tabs-accordions.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:18 +0800] "POST /scfyd/userMark/list?_dc=1497228198813 HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:19 +0800] "POST /scfyd/notepadFlow/list?_dc=1497228199163 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:19 +0800] "POST /scfyd/warning/count?_dc=1497228199251 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:19 +0800] "POST /scfyd/activiti/getAgencyTaskNum?_dc=1497228199293 HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:19 +0800] "POST /scfyd/activiti/getHandleTaskNum?_dc=1497228199317 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:19 +0800] "POST /scfyd/homeInfo/list?_dc=1497228199335 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:19 +0800] "POST /scfyd/classNews/list?_dc=1497228199375 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:19 +0800] "POST /scfyd/classNews/list?_dc=1497228199413 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:19 +0800] "POST /scfyd/internalAnnouncement/list?_dc=1497228199431 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:43:19 +0800] "POST /scfyd/document/list?_dc=1497228199467 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:11 +0800] "GET /scfyd/tabs-accordions.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:11 +0800] "POST /scfyd/userMark/list?_dc=1497228311371 HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:11 +0800] "POST /scfyd/notepadFlow/list?_dc=1497228311449 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:11 +0800] "POST /scfyd/warning/count?_dc=1497228311499 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:11 +0800] "POST /scfyd/activiti/getAgencyTaskNum?_dc=1497228311520 HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:11 +0800] "POST /scfyd/activiti/getHandleTaskNum?_dc=1497228311531 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:11 +0800] "POST /scfyd/homeInfo/list?_dc=1497228311544 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:11 +0800] "POST /scfyd/classNews/list?_dc=1497228311561 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:11 +0800] "POST /scfyd/classNews/list?_dc=1497228311576 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:11 +0800] "POST /scfyd/internalAnnouncement/list?_dc=1497228311590 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:11 +0800] "POST /scfyd/document/list?_dc=1497228311606 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:12 +0800] "GET /scfyd/index.html HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:13 +0800] "POST /scfyd/userMark/list?_dc=1497228313192 HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:13 +0800] "POST /scfyd/notepadFlow/list?_dc=1497228313245 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:13 +0800] "POST /scfyd/warning/count?_dc=1497228313295 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:13 +0800] "POST /scfyd/activiti/getAgencyTaskNum?_dc=1497228313311 HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:13 +0800] "POST /scfyd/activiti/getHandleTaskNum?_dc=1497228313323 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:13 +0800] "POST /scfyd/homeInfo/list?_dc=1497228313336 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:13 +0800] "POST /scfyd/classNews/list?_dc=1497228313353 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:13 +0800] "POST /scfyd/classNews/list?_dc=1497228313368 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:13 +0800] "POST /scfyd/internalAnnouncement/list?_dc=1497228313385 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:45:13 +0800] "POST /scfyd/document/list?_dc=1497228313402 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [12/Jun/2017:08:46:10 +0800] "GET /scfyd/pubManager/custManager/custManager.html HTTP/1.1" 200 13739
