127.0.0.1 - - [03/May/2017:16:42:09 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:45 +0800] "GET /scfcloud/login.html HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:46 +0800] "GET /scfcloud/css/bootstrap.min.css HTTP/1.1" 200 100013
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:46 +0800] "GET /scfcloud/css/datepicker3.css HTTP/1.1" 200 33772
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:46 +0800] "GET /scfcloud/js/CloudUtils.js HTTP/1.1" 200 24134
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:46 +0800] "GET /scfcloud/js/jquery-3.0.0.min.js HTTP/1.1" 200 86341
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:46 +0800] "GET /scfcloud/js/jquery.cookie.js HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:46 +0800] "GET /scfcloud/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:46 +0800] "GET /scfcloud/js/login.js HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:46 +0800] "GET /scfcloud/js/store.js HTTP/1.1" 200 6744
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:46 +0800] "GET /scfcloud/js/password.js HTTP/1.1" 200 8825
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:46 +0800] "GET /scfcloud/js/bootbox-4.4.0/bootbox.js HTTP/1.1" 200 26601
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:46 +0800] "GET /scfcloud/images/logo.png HTTP/1.1" 200 21303
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:46 +0800] "GET /scfcloud/images/background.jpg HTTP/1.1" 200 59064
0:0:0:0:0:0:0:1 - - [03/May/2017:16:42:48 +0800] "GET /scfcloud/login/code HTTP/1.1" 200 2628
0:0:0:0:0:0:0:1 - - [03/May/2017:16:43:07 +0800] "POST /scfcloud/login?_dc=1493800986189 HTTP/1.1" 200 3884
