127.0.0.1 - - [13/Apr/2017:08:35:14 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:36:32 +0800] "GET /scfcloud/js/CloudUtils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:36:32 +0800] "GET /scfcloud/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:36:32 +0800] "GET /scfcloud/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:36:33 +0800] "GET /scfcloud/tabs-accordions.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:36:33 +0800] "POST /scfcloud/corp/list?_dc=1492043793263 HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:36:33 +0800] "GET /scfcloud/js/sysManager/tab-accord/tabs-accordions.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:36:34 +0800] "GET /scfcloud/login/code HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:36:34 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:36:43 +0800] "POST /scfcloud/login?_dc=1492043802446 HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:36:43 +0800] "POST /scfcloud/corp/list?_dc=1492043803767 HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:36:43 +0800] "GET /scfcloud/js/sysManager/tab-accord/tabs-accordions.js HTTP/1.1" 200 9240
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:49:12 +0800] "GET /scfcloud/tabs-accordions.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:49:12 +0800] "GET /scfcloud/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:49:12 +0800] "GET /scfcloud/css/style-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:49:12 +0800] "GET /scfcloud/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:49:12 +0800] "GET /scfcloud/css/bootstrap-table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:49:12 +0800] "GET /scfcloud/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:08:49:12 +0800] "GET /scfcloud/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 304 -
